,Cohorte,log(qx),Edad
10203,1999,-0.8588240322258266,102
10204,1999,-0.8173507840192515,103
10205,1999,-0.7790101263401213,104
10206,1999,-0.7436618308011237,105
10207,1999,-0.7111685951577641,106
10208,1999,-0.6813767249610297,107
10209,1999,-0.6541380282456187,108
10210,1999,-0.6292901415785989,109
10211,1999,0.0,110+
10212,2000,-5.360192770266124,0
10213,2000,-7.706262975199909,1
10214,2000,-8.145629634983754,2
10215,2000,-8.421883011611913,3
10216,2000,-8.679712120914012,4
10217,2000,-8.568486485803788,5
10218,2000,-8.568486485803788,6
10219,2000,-8.740336742730447,7
10220,2000,-8.804875263868018,8
10221,2000,-8.804875263868018,9
10222,2000,-8.804875263868018,10
10223,2000,-8.947976107508692,11
10224,2000,-8.804875263868018,12
10225,2000,-8.568486485803788,13
10226,2000,-8.047189562170502,14
10227,2000,-7.957577403480815,15
10228,2000,-7.5616817463888015,16
10229,2000,-7.264430222920869,17
10230,2000,-7.264430222920869,18
10231,2000,-7.222466023821838,19
10232,2000,-7.070274208479912,20
10233,2000,-7.070274208479912,21
10234,2000,-7.1308988302963465,22
10235,2000,-7.09408485717363,23
10236,2000,-7.002065958453378,24
10237,2000,-7.013115794639964,25
10238,2000,-6.927957986299656,26
10239,2000,-7.013115794639964,27
10240,2000,-6.849486370858162,28
10241,2000,-6.897804948128969,29
10242,2000,-6.8589651148127055,30
10243,2000,-6.708904420236972,31
10244,2000,-6.668738378511637,32
10245,2000,-6.607650686531799,33
10246,2000,-6.5856717798130235,34
10247,2000,-6.41305903714603,35
10248,2000,-6.394931652553473,36
10249,2000,-6.3538701657556995,37
10250,2000,-6.2659013928097425,38
10251,2000,-6.2659013928097425,39
10252,2000,-6.114762763452475,40
10253,2000,-6.133028111429769,41
10254,2000,-6.0157572396770265,42
10255,2000,-5.9294291561885295,43
10256,2000,-5.839602197798736,44
10257,2000,-5.779584188072483,45
10258,2000,-5.763532479061975,46
10259,2000,-5.580680277522218,47
10260,2000,-5.567504856363653,48
10261,2000,-5.477444032445472,49
10262,2000,-5.320562975495356,50
10263,2000,-5.316481337175707,51
10264,2000,-5.215816145036293,52
10265,2000,-5.132802928070463,53
10266,2000,-5.059300466077537,54
10267,2000,-4.996732388927264,55
10268,2000,-4.8652370914068985,56
10269,2000,-4.8146574108548155,57
10270,2000,-4.738701578612614,58
10271,2000,-4.641834170359683,59
10272,2000,-4.566911473871001,60
10273,2000,-4.437116600991842,61
10274,2000,-4.369307862266107,62
10275,2000,-4.269412490304747,63
10276,2000,-4.172089910846954,64
10277,2000,-4.073953872574367,65
10278,2000,-4.027995181680566,66
10279,2000,-3.897627125144414,67
10280,2000,-3.8448317558878227,68
10281,2000,-3.7272045684356043,69
10282,2000,-3.633255550365939,70
