,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982
37,0.002371,0.002229,0.002483,0.002138,0.002255,0.002295,0.002191,0.002211,0.002293,0.002276,0.002023,0.002007,0.002023,0.002112,0.002021,0.001821,0.001743,0.001635,0.001657,0.001629,0.001701,0.0015
38,0.002516,0.002696,0.002511,0.002664,0.002383,0.002298,0.002422,0.002372,0.002678,0.002454,0.002253,0.002236,0.002054,0.002303,0.002271,0.001963,0.001935,0.002077,0.002047,0.001729,0.001801,0.00176
39,0.002703,0.00245,0.002745,0.00251,0.002565,0.002542,0.002852,0.002456,0.002725,0.002594,0.002569,0.002362,0.002483,0.002323,0.002376,0.002135,0.002259,0.002032,0.002229,0.002001,0.001995,0.002001
40,0.002899,0.00304,0.003099,0.0029,0.002823,0.002805,0.002862,0.002706,0.002907,0.002692,0.003008,0.002599,0.002665,0.002897,0.002701,0.002591,0.00234,0.002611,0.0022,0.002357,0.002317,0.002196
41,0.002972,0.002942,0.002867,0.002946,0.00306,0.002765,0.00291,0.002583,0.002937,0.002994,0.002866,0.002779,0.002644,0.002551,0.00278,0.002444,0.002442,0.002573,0.002594,0.002328,0.002512,0.002365
42,0.003894,0.004007,0.003836,0.003597,0.003369,0.003482,0.003401,0.003236,0.003613,0.003457,0.003506,0.003425,0.003083,0.003208,0.003108,0.002786,0.002865,0.002914,0.003004,0.003029,0.002622,0.002633
43,0.00361,0.003831,0.003412,0.003341,0.003486,0.00364,0.003397,0.003206,0.00357,0.003303,0.003516,0.003289,0.003496,0.003347,0.003077,0.00317,0.003106,0.003222,0.003088,0.00276,0.003105,0.002823
44,0.004048,0.003848,0.00406,0.004084,0.004178,0.003761,0.004334,0.003936,0.004041,0.003684,0.003846,0.003604,0.003472,0.003563,0.003534,0.003554,0.003432,0.003521,0.00347,0.003329,0.00327,0.003133
45,0.004412,0.004443,0.004436,0.004535,0.00425,0.004146,0.00407,0.004273,0.004317,0.004171,0.004205,0.003721,0.003991,0.003771,0.003636,0.003851,0.00386,0.00387,0.003806,0.00358,0.003566,0.00348
46,0.004794,0.004812,0.004761,0.004634,0.004656,0.004742,0.004664,0.004262,0.004721,0.004636,0.004404,0.004301,0.004068,0.004343,0.004341,0.004438,0.004072,0.004062,0.004007,0.003713,0.003949,0.003759
47,0.005013,0.00504,0.005149,0.005114,0.004824,0.005213,0.005366,0.005132,0.00504,0.005364,0.00554,0.004717,0.004966,0.004404,0.004952,0.004845,0.004624,0.004521,0.004474,0.004067,0.004474,0.003997
48,0.005679,0.00621,0.005691,0.005742,0.0059,0.005555,0.005771,0.005457,0.006069,0.005494,0.005842,0.00533,0.005816,0.005212,0.005183,0.005279,0.004911,0.005052,0.004791,0.00476,0.004533,0.004302
49,0.006307,0.006013,0.00629,0.005802,0.005965,0.005984,0.005643,0.005455,0.006277,0.00589,0.006233,0.005891,0.005929,0.006051,0.005862,0.005626,0.005673,0.005275,0.005276,0.005059,0.005012,0.005241
50,0.006649,0.007015,0.006957,0.006825,0.00661,0.006805,0.006545,0.006489,0.007042,0.006655,0.006987,0.006487,0.006588,0.006411,0.006699,0.006586,0.0061,0.006221,0.00612,0.006088,0.005807,0.005577
51,0.007325,0.006952,0.007314,0.006813,0.006606,0.006625,0.006931,0.006877,0.006916,0.006755,0.007309,0.006844,0.007204,0.007056,0.006623,0.006957,0.006784,0.006455,0.006496,0.006261,0.006135,0.006274
52,0.00867,0.009079,0.009152,0.008217,0.008075,0.008197,0.008328,0.00823,0.008671,0.007919,0.008967,0.007833,0.008433,0.008145,0.007889,0.00737,0.007434,0.007306,0.007524,0.007035,0.006963,0.006662
53,0.008775,0.008966,0.009366,0.008971,0.008256,0.008823,0.008968,0.00886,0.009031,0.008782,0.008666,0.008321,0.0086,0.008622,0.008329,0.008649,0.008154,0.008186,0.008216,0.007562,0.00777,0.007547
54,0.009971,0.010065,0.01033,0.009845,0.00978,0.010156,0.009295,0.009539,0.010341,0.009741,0.009915,0.008869,0.009602,0.009575,0.009261,0.009435,0.008923,0.008878,0.008407,0.008406,0.008392,0.007971
55,0.010587,0.010989,0.010735,0.01076,0.010345,0.010758,0.009721,0.009737,0.010774,0.010052,0.010669,0.009505,0.01004,0.009995,0.01022,0.010601,0.010018,0.009677,0.009682,0.009302,0.009042,0.008933
56,0.012144,0.012812,0.01236,0.012226,0.011815,0.011945,0.012429,0.01103,0.011256,0.010927,0.012076,0.010861,0.011378,0.011369,0.011633,0.01092,0.011095,0.010283,0.010105,0.01019,0.009669,0.00976
57,0.012936,0.013509,0.013297,0.012852,0.012302,0.012738,0.012953,0.012099,0.012949,0.011985,0.013484,0.012059,0.012094,0.012215,0.012034,0.01215,0.011825,0.011994,0.011253,0.011026,0.010857,0.010439
58,0.014935,0.014782,0.014942,0.014671,0.014485,0.013966,0.01378,0.013964,0.015157,0.01373,0.014696,0.013651,0.013802,0.013223,0.013888,0.013355,0.012981,0.012861,0.012808,0.011908,0.012008,0.011465
59,0.015137,0.016701,0.017395,0.016376,0.015589,0.015867,0.015102,0.015744,0.0163,0.014808,0.015344,0.014369,0.014839,0.014696,0.014979,0.01496,0.014785,0.014368,0.013385,0.013751,0.013014,0.012443
