"","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982"
"32",0.000674,0.000704,0.000741,0.000807,0.000568,0.000462,0.000481,0.000445,0.000515,0.000424,0.000393,0.000382,0.000375,0.000365,0.000305,0.000264,0.000275,0.000254,0.000282,0.000308,0.000209,0.000231
"33",0.000838,0.000723,0.000869,0.000642,0.000519,0.000615,0.000509,0.000508,0.000499,0.000433,0.00038,0.000431,0.000377,0.000345,0.000323,0.000332,0.000302,0.000257,0.00027,0.000254,0.000291,0.000202
"34",0.000833,0.00069,0.000653,0.000595,0.000495,0.000506,0.000545,0.000458,0.000507,0.000451,0.000457,4e-04,0.000381,0.000376,0.000351,0.000336,0.000329,0.000288,0.00026,0.000292,0.000289,0.000287
"35",0.000812,0.000628,0.000557,0.000631,0.000546,0.000528,0.000539,0.00053,0.000493,0.000506,0.000417,0.000382,0.000482,0.000425,0.000378,0.000324,0.000335,0.000331,0.000296,0.000279,0.000338,0.000349
"36",0.000657,0.000693,0.000557,0.000707,0.000639,0.000593,0.000626,0.000544,0.000624,0.000506,0.000494,0.000511,0.000471,0.000401,0.000417,0.000382,0.000383,0.000333,0.000411,0.000321,3e-04,0.000332
"37",0.000637,0.00065,0.000705,0.000715,0.000702,0.000666,0.000619,0.00062,0.000623,0.000539,0.000498,0.000445,0.000476,0.000442,0.000468,0.00047,0.00039,0.000332,0.000417,0.000423,0.000361,0.00037
"38",0.000751,0.000708,0.000786,0.00071,0.000794,0.000611,0.000619,0.000671,0.000611,0.000532,0.000575,0.000473,0.000519,0.000528,0.000474,0.00047,0.00043,0.000399,0.000475,0.000424,0.000422,0.000425
"39",0.00078,0.000823,0.000799,0.00075,0.000766,0.000717,0.000799,0.000737,0.000682,0.000534,0.000566,0.000587,0.000474,0.000569,0.000461,0.000451,0.000493,0.00045,0.000441,0.000436,0.000444,0.0004793026
"40",0.000867881251942165,0.000859298340058118,0.000859929067534444,0.000818563342665574,0.000799319774080937,0.000755424526277731,0.000745131541511303,0.000726206524912042,0.000703313642935531,0.000643854478385057,0.000619996010290982,0.000624855983991201,0.00057160070391679,0.000558138501279078,0.000560593969358717,0.000517243000781739,0.00052083291067557,0.000477512615971853,0.000505999999998783,0.00052232988832198,0.000530168208034654,0.000533605164406365
"41",0.00092110671632698,0.000921520353175906,0.000887768958128631,0.000880975498681459,0.000827585266703475,0.000812002464548044,0.000794307166684182,0.00077039828771192,0.000746169634085025,0.000692681350714904,0.000676008473008027,0.000658621243734059,0.000617291745067714,0.000617227395589256,0.000592658835702598,0.000565387059998466,0.000561530972481228,0.000509223001997015,0.000544626318002107,0.000563166552444161,0.000572597603595663,0.000577297581032288
"42",0.000990304621131933,0.000950578573423499,0.000950744807812692,0.000904393340085769,0.000877513318879899,0.000853083692755924,0.000827825168463903,0.000799342155349555,0.000782566868823048,0.00073670924614435,0.000693593861339274,0.000689232589159308,0.000663040345941034,0.000633813967116592,0.000627616217708729,0.000590884094022539,0.000578559043534789,0.000527270236087109,0.000563076430698685,0.000581365237477467,0.000590208165853757,0.000594153838115495
"43",0.00105908065100828,0.00106051094036853,0.00101421520809135,0.00100117696569565,0.000962017698715877,0.000928143358237695,0.000897742337860694,0.000878051534254475,0.000872644548299793,0.000790549254522961,0.000761683371949516,0.000778047015098403,0.000712688644512399,0.000705153824710839,0.000688154589186538,0.000638654054426308,0.00062967486785223,0.000573563794654161,0.000612203236822758,0.000631767283379759,0.000641051743420119,0.00064501019375776
"44",0.00116349826007958,0.00111393448957638,0.00110722525392047,0.00108242230400042,0.00103267739568238,0.000993862968602555,0.000974507775009358,0.000967699645780965,0.000925271259048823,0.000858863066473945,0.000850645163648007,0.000826703123429621,0.000784616374984519,0.000764826509133646,0.000736036115825668,0.000688460921735822,0.000678836030004714,0.000618393846622005,0.000660106419750379,0.000681256049291475,0.000691323357275117,0.000695648139348114
"45",0.00121558082069058,0.00120907494436894,0.00119181439993115,0.00115967564996905,0.00110678530835184,0.00108051410891625,0.00107385865198512,0.0010306428037464,0.00101019937889842,0.000960293382445878,0.00090884328114548,0.000913689530449076,0.000855177794160727,0.000824620899941661,0.00080126149496344,0.000750921937154766,0.000741857911396805,0.000677113319203867,0.000724186631337624,0.000748836954442469,0.000761374761867049,0.000767621665567004
"46",0.00129611112396889,0.00127848744567598,0.001252245167532,0.00121541428040381,0.00117311547201392,0.00116015771217564,0.00111561578231748,0.00109256154543966,0.00109646943399247,0.000999208769627277,0.000974324024689923,0.00096726051021066,0.000894382638887965,0.000867815442992637,0.000843033198876824,0.000789882631854014,0.000780163940794435,0.000711907987457641,0.000761220333372674,0.000786945241271601,0.000799932036094849,0.000806304725952858
"47",0.00143260570187657,0.00140326455410499,0.00137013877364617,0.00134504557261165,0.00131593082172112,0.00125710820261373,0.00123392240160646,0.00123887443962548,0.00118975488267218,0.00111815992104034,0.0010761568418441,0.00105449820111016,0.000980912398143585,0.000951184342612176,0.000923448013280162,0.000864690710667363,0.000853521680753622,0.000778364472400099,0.000831763722761852,0.000859339080791611,0.00087297859391464,0.000879387250980335
"48",0.0015121415122952,0.0014781031351251,0.00146118951891507,0.00145412410835729,0.00137407320644921,0.00134191041588928,0.00135018098752537,0.00129615016869884,0.00128528640151707,0.00119180555197981,0.00113282062096016,0.00111802941033002,0.00104019293357197,0.00100884549408765,0.00097959984472099,0.000917430850777778,0.000905739680568346,0.000826129504008382,0.000882960739096796,0.000912393687257814,0.000927038122418892,0.000934007696379912
"49",0.00159618947845225,0.00157924050662343,0.00158256816320048,0.00152117321209188,0.00146884006074778,0.00147048800698324,0.00141497724117595,0.00140210188727913,0.00137192045687565,0.0012561538891727,0.00120218593953624,0.00118642366742674,0.0011037648206395,0.00107044259661613,0.00103935403680723,0.000973339201593603,0.000960882634852917,0.000876377377170849,0.000936613673939539,0.00096778179414799,0.000983261071791015,0.000990598763810727
"50",0.00171125136240472,0.00171634033155505,0.00166114635677335,0.00163179638918188,0.00161529606164059,0.00154633113485626,0.00153607551070257,0.00150185274856158,0.00145107265799672,0.00133786020413298,0.00128036853152682,0.00126356796938937,0.001175522142237,0.00114002167350018,0.0011069007751379,0.00103658485368183,0.00102330818471015,0.000933303125662085,0.000997441687406987,0.00103062323345306,0.00104709668651875,0.00105489972919285
"51",0.00189335547417557,0.00183771020323369,0.00181828362168731,0.00182807120441533,0.00173356460271759,0.00171215861299571,0.0016788550307947,0.00162311973522429,0.00158051640382782,0.00145845198970764,0.00139697278864302,0.00137982216315844,0.00128477440248346,0.00124704097150206,0.00121184718725808,0.00113583586947526,0.00112224769391914,0.00102441645855825,0.00109575357311732,0.00113317467996169,0.00115227269794088,0.00116185309839276
"52",0.00194438014680716,0.00192449369420088,0.00195384383703096,0.00187890952770878,0.00183688432259568,0.00179066989958962,0.00173132116770047,0.00168209639255424,0.00163552247306829,0.00150697772453491,0.00144131806301566,0.00142151742073689,0.00132163987236872,0.00128092637093576,0.0012429352092031,0.00116325090255538,0.00114763484896359,0.00104604107994318,0.00111722919439476,0.00115367486120573,0.0011713832953387,0.00117937566479457
