,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982
34,0.001348,0.001384,0.001341,0.001225,0.001265,0.001169,0.00118,0.001166,0.00107,0.001035,0.000944,0.00103,0.000816,0.000823,0.000863,0.000799,0.000751,0.000741,0.000759,0.000701,0.00065,0.000674
35,0.001581,0.001545,0.001406,0.001261,0.00128,0.001291,0.001194,0.001257,0.001138,0.00116,0.001017,0.00094,0.001095,0.000925,0.000955,0.00088,0.000797,0.000822,0.000776,0.000744,0.000772,0.000767
36,0.001457,0.001597,0.001447,0.001339,0.001306,0.001255,0.001292,0.00116,0.001284,0.001202,0.001154,0.001218,0.001139,0.001199,0.000897,0.001016,0.000829,0.000869,0.000794,0.000814,0.000848,0.00069
37,0.001575,0.001452,0.001618,0.00144,0.001494,0.001259,0.001337,0.001353,0.001446,0.001214,0.001208,0.001089,0.001224,0.001124,0.001059,0.001073,0.000969,0.00087,0.000867,0.000825,0.000852,0.00087
38,0.001706,0.001911,0.001801,0.001668,0.001563,0.001538,0.001652,0.001477,0.001416,0.001511,0.001322,0.001299,0.001175,0.001168,0.00128,0.00115,0.00108,0.001074,0.001051,0.000829,0.000803,0.000815
39,0.001761,0.001821,0.001645,0.001669,0.00182,0.001582,0.001474,0.001412,0.001594,0.001569,0.001475,0.001299,0.001158,0.001237,0.001341,0.001127,0.001199,0.001008,0.001174,0.001219,0.000828,0.001027
40,0.001998,0.002238,0.002207,0.002023,0.001861,0.001795,0.001893,0.001598,0.001805,0.001657,0.001695,0.001491,0.001531,0.001426,0.001333,0.00121,0.001264,0.001118,0.001132,0.001172,0.001143,0.001011
41,0.001977,0.001986,0.001833,0.001603,0.00175,0.0017,0.001652,0.001709,0.001717,0.001589,0.001752,0.001578,0.00155,0.001387,0.001429,0.001321,0.001295,0.001282,0.001219,0.001149,0.001254,0.000985
42,0.002505,0.002611,0.002479,0.002343,0.002138,0.002075,0.002038,0.002025,0.002124,0.00211,0.002063,0.001888,0.001722,0.001698,0.001703,0.001401,0.001491,0.001393,0.001389,0.001359,0.001094,0.001408
43,0.002463,0.002354,0.002303,0.002431,0.002131,0.002046,0.002159,0.00199,0.002148,0.001916,0.001969,0.001867,0.001895,0.001848,0.001692,0.001665,0.001493,0.001539,0.001487,0.001412,0.001516,0.001213
44,0.002398,0.002381,0.002749,0.002678,0.002581,0.002501,0.00217,0.002219,0.002266,0.001867,0.002078,0.00198,0.001905,0.001971,0.001974,0.001931,0.001756,0.001614,0.001749,0.001628,0.001348,0.001367
45,0.002965,0.003003,0.002781,0.002687,0.002664,0.002377,0.00241,0.002439,0.002471,0.002337,0.002505,0.002083,0.002162,0.002248,0.002036,0.002023,0.002019,0.001856,0.001885,0.001827,0.001762,0.001604
46,0.002784,0.003275,0.003199,0.002887,0.002929,0.00284,0.002709,0.002687,0.002974,0.002498,0.00266,0.002351,0.002235,0.00231,0.002363,0.002334,0.001969,0.001995,0.00185,0.001736,0.001744,0.001746
47,0.003224,0.003059,0.003364,0.003231,0.002818,0.003187,0.003022,0.002965,0.00296,0.002636,0.002807,0.002929,0.00268,0.002419,0.002558,0.002575,0.002154,0.002169,0.002096,0.001988,0.002027,0.001997
48,0.003554,0.003802,0.003745,0.003377,0.003775,0.003473,0.003373,0.003269,0.003757,0.003108,0.003367,0.00292,0.002691,0.002988,0.002852,0.002722,0.002351,0.002614,0.002423,0.002244,0.002217,0.002087
49,0.003842,0.003514,0.003717,0.003514,0.003572,0.003448,0.003462,0.003461,0.003513,0.003148,0.003521,0.003076,0.003261,0.00316,0.003083,0.002999,0.002798,0.002743,0.002541,0.002412,0.002586,0.002186
50,0.004544,0.004607,0.004368,0.004291,0.003853,0.004055,0.004153,0.003841,0.004422,0.003563,0.004024,0.003526,0.003494,0.003644,0.003288,0.003432,0.003031,0.003118,0.002948,0.002993,0.002755,0.002584
